(ardent, freq:1) * --> 3
(ardently, freq:2) * --> 2 --> 3
(are, freq:3) * --> 1 --> 2 --> 3
(argued, freq:1) * --> 1
(arguing, freq:1) * --> 1
(argument, freq:2) * --> 1 --> 2
(arguments, freq:2) * --> 1 --> 3
(arise, freq:3) * --> 1 --> 2 --> 3
(arisen, freq:1) * --> 3
(arising, freq:2) * --> 1 --> 3
(arm, freq:2) * --> 1 --> 3
(army, freq:1) * --> 3
(arose, freq:3) * --> 1 --> 2 --> 3
(around, freq:2) * --> 1 --> 3
(aroused, freq:1) * --> 3
(arrange, freq:1) * --> 1
(arranged, freq:2) * --> 1 --> 2
(arrangement, freq:2) * --> 2 --> 3
(arrangements, freq:1) * --> 3
(arranges, freq:1) * --> 2
(arranging, freq:1) * --> 1
(arrear, freq:1) * --> 3
(arrested, freq:2) * --> 1 --> 3
(arrival, freq:3) * --> 1 --> 2 --> 3
(arrive, freq:2) * --> 2 --> 3
(arrived, freq:3) * --> 1 --> 2 --> 3
(arriving, freq:1) * --> 2
(arrogance, freq:1) * --> 2
(arrogant, freq:1) * --> 1
(art, freq:3) * --> 1 --> 2 --> 3
(artful, freq:1) * --> 2
(artfully, freq:1) * --> 2
(article, freq:2) * --> 2 --> 3
(articles, freq:2) * --> 2 --> 3
(artificial, freq:1) * --> 3
(arts, freq:3) * --> 1 --> 2 --> 3
(as, freq:3) * --> 1 --> 2 --> 3
(ascended, freq:2) * --> 2 --> 3
(ascertain, freq:2) * --> 1 --> 3
(ascertaining, freq:1) * --> 1
(ashamed, freq:2) * --> 2 --> 3
(ashworth, freq:1) * --> 3
(aside, freq:2) * --> 1 --> 2
(ask, freq:3) * --> 1 --> 2 --> 3
(asked, freq:3) * --> 1 --> 2 --> 3
(asking, freq:3) * --> 1 --> 2 --> 3
(aspect, freq:3) * --> 1 --> 2 --> 3
(asperity, freq:1) * --> 1
(aspire, freq:1) * --> 3
(assembled, freq:2) * --> 1 --> 3
(assemblies, freq:1) * --> 1
(assembly, freq:2) * --> 1 --> 2
(assent, freq:1) * --> 1
(assented, freq:2) * --> 1 --> 2
(assents, freq:1) * --> 1
(assert, freq:3) * --> 1 --> 2 --> 3
(asserted, freq:1) * --> 2
(asserting, freq:1) * --> 1
(assertion, freq:2) * --> 1 --> 2
(assertions, freq:2) * --> 1 --> 2
(assiduous, freq:1) * --> 2
(assiduously, freq:1) * --> 3
(assist, freq:2) * --> 1 --> 3
(assistance, freq:3) * --> 1 --> 2 --> 3
(assistant, freq:1) * --> 1
(assisted, freq:3) * --> 1 --> 2 --> 3
(assisting, freq:2) * --> 1 --> 2
(associating, freq:1) * --> 1
(assume, freq:2) * --> 1 --> 3
(assumed, freq:1) * --> 2
(assurance, freq:3) * --> 1 --> 2 --> 3
(assurances, freq:3) * --> 1 --> 2 --> 3
(assure, freq:3) * --> 1 --> 2 --> 3
(assured, freq:3) * --> 1 --> 2 --> 3
(assuring, freq:1) * --> 1
(astonish, freq:2) * --> 1 --> 2
(astonished, freq:3) * --> 1 --> 2 --> 3
(astonishment, freq:3) * --> 1 --> 2 --> 3
(at, freq:3) * --> 1 --> 2 --> 3
(ate, freq:1) * --> 2
(atone, freq:2) * --> 2 --> 3
(atoned, freq:1) * --> 1
(atonement, freq:1) * --> 1
(attach, freq:2) * --> 2 --> 3
(attached, freq:3) * --> 1 --> 2 --> 3
(attachment, freq:3) * --> 1 --> 2 --> 3
(attachments, freq:1) * --> 2
(attack, freq:2) * --> 1 --> 3
(attacked, freq:1) * --> 1
(attacks, freq:2) * --> 1 --> 2
(attained, freq:1) * --> 2
(attempt, freq:3) * --> 1 --> 2 --> 3
(attempted, freq:3) * --> 1 --> 2 --> 3
(attempting, freq:3) * --> 1 --> 2 --> 3
(attend, freq:3) * --> 1 --> 2 --> 3
(attendance, freq:2) * --> 1 --> 3
(attendant, freq:1) * --> 3
(attendants, freq:1) * --> 3
(attended, freq:3) * --> 1 --> 2 --> 3
(attending, freq:3) * --> 1 --> 2 --> 3
(attention, freq:3) * --> 1 --> 2 --> 3
(attentions, freq:3) * --> 1 --> 2 --> 3
(attentive, freq:3) * --> 1 --> 2 --> 3
(attentively, freq:2) * --> 2 --> 3
(attics, freq:1) * --> 3
(attitude, freq:1) * --> 1
(attorney, freq:2) * --> 1 --> 2
(attracted, freq:3) * --> 1 --> 2 --> 3
(attraction, freq:1) * --> 3
(attractions, freq:2) * --> 1 --> 2
(attribute, freq:2) * --> 1 --> 3
(attributed, freq:3) * --> 1 --> 2 --> 3
(attributing, freq:1) * --> 2
(audible, freq:1) * --> 1
(audience, freq:2) * --> 1 --> 2
(aught, freq:1) * --> 3
(augment, freq:1) * --> 3
(augmented, freq:1) * --> 3
(august, freq:1) * --> 3
(aunt, freq:3) * --> 1 --> 2 --> 3
(aunts, freq:1) * --> 3
(austen, freq:1) * --> 1
(austerity, freq:1) * --> 3
(authorise, freq:1) * --> 3
(authorised, freq:1) * --> 2
(authorising, freq:1) * --> 3
(authoritative, freq:2) * --> 1 --> 2
(authority, freq:2) * --> 1 --> 3
(authorized, freq:1) * --> 1
(avail, freq:1) * --> 2
(availed, freq:1) * --> 3
(avarice, freq:1) * --> 2
(avenue, freq:1) * --> 1
(avoid, freq:3) * --> 1 --> 2 --> 3
(avoidance, freq:1) * --> 3
(avoided, freq:1) * --> 2
(avoiding, freq:1) * --> 1
(avowal, freq:2) * --> 1 --> 2
(avowed, freq:2) * --> 2 --> 3
(awaited, freq:1) * --> 2
(awake, freq:2) * --> 1 --> 3
(awakened, freq:2) * --> 2 --> 3
(aware, freq:3) * --> 1 --> 2 --> 3
(away, freq:3) * --> 1 --> 2 --> 3
(awe, freq:1) * --> 3
(awed, freq:2) * --> 1 --> 2
(awful, freq:2) * --> 1 --> 2
(awkward, freq:3) * --> 1 --> 2 --> 3
(awkwardness, freq:2) * --> 2 --> 3
(awoke, freq:1) * --> 2
(aye, freq:2) * --> 1 --> 2
(b, freq:1) * --> 3
(back, freq:3) * --> 1 --> 2 --> 3
(backed, freq:1) * --> 3
(backgammon, freq:1) * --> 1
(backward, freq:1) * --> 3
(backwards, freq:1) * --> 2
(bad, freq:3) * --> 1 --> 2 --> 3
(bags, freq:1) * --> 2
(bakewell, freq:1) * --> 3
(ball, freq:3) * --> 1 --> 2 --> 3
(balls, freq:3) * --> 1 --> 2 --> 3
(balm, freq:1) * --> 3
(bandbox, freq:1) * --> 2
(banish, freq:2) * --> 2 --> 3
(banished, freq:2) * --> 2 --> 3
(banks, freq:1) * --> 3
(barbarous, freq:1) * --> 3
(barbarously, freq:1) * --> 2
(bare, freq:1) * --> 1
(barefaced, freq:1) * --> 1
(barely, freq:1) * --> 3
(barnet, freq:1) * --> 3
(barouche, freq:1) * --> 2
(bashful, freq:1) * --> 1
(basis, freq:1) * --> 3
(bass, freq:1) * --> 1
(bath, freq:1) * --> 3
(bathing, freq:1) * --> 3
(battled, freq:1) * --> 3
(be, freq:3) * --> 1 --> 2 --> 3
(bear, freq:3) * --> 1 --> 2 --> 3
(bearing, freq:1) * --> 2
(bears, freq:2) * --> 1 --> 3
(beatings, freq:1) * --> 3
(beauteous, freq:1) * --> 3
(beauties, freq:3) * --> 1 --> 2 --> 3
(beautiful, freq:2) * --> 1 --> 3
(beauty, freq:3) * --> 1 --> 2 --> 3
(beaux, freq:1) * --> 2
(became, freq:3) * --> 1 --> 2 --> 3
(because, freq:3) * --> 1 --> 2 --> 3
(become, freq:3) * --> 1 --> 2 --> 3
(becomes, freq:2) * --> 2 --> 3
(becoming, freq:2) * --> 1 --> 3
(bed, freq:3) * --> 1 --> 2 --> 3
(bedrooms, freq:1) * --> 3
(been, freq:3) * --> 1 --> 2 --> 3
